episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
25800, 29.0, -1.0, -1.0, -1, -1, 0.14495412844036698, 0.1834862385321101, 0.21467889908256882, 0.1761467889908257, 0.181651376146789, 0.09908256880733946
25820, 28.9, -1.0, -1.0, -1, -1, 0.15384615384615385, 0.17159763313609466, 0.1834319526627219, 0.20710059171597633, 0.15976331360946747, 0.1242603550295858
25840, 27.9, -1.0, -1.0, -1, -1, 0.16698292220113853, 0.16888045540796964, 0.20683111954459202, 0.16129032258064516, 0.18975332068311196, 0.1062618595825427
25860, 32.4, -1.0, -1.0, -1, -1, 0.14046822742474915, 0.1588628762541806, 0.20735785953177258, 0.20735785953177258, 0.1505016722408027, 0.1354515050167224
25880, 23.7, -1.0, -1.0, -1, -1, 0.14338919925512103, 0.16945996275605213, 0.15083798882681565, 0.21973929236499068, 0.1787709497206704, 0.1378026070763501
25900, 25.7, -1.0, -1.0, -1, -1, 0.1534090909090909, 0.19128787878787878, 0.19886363636363635, 0.19128787878787878, 0.14204545454545456, 0.12310606060606061
25920, 25.5, -1.0, -1.0, -1, -1, 0.14666666666666667, 0.17523809523809525, 0.1980952380952381, 0.18095238095238095, 0.17714285714285713, 0.1219047619047619
25940, 21.7, -0.8, -1.0, -1, 1, 0.17543859649122806, 0.18421052631578946, 0.19956140350877194, 0.13815789473684212, 0.17324561403508773, 0.12938596491228072
25960, 30.5, -1.0, -1.0, -1, -1, 0.1500789889415482, 0.18325434439178515, 0.18799368088467613, 0.1895734597156398, 0.1674565560821485, 0.12164296998420221
25980, 25.5, -1.0, -1.0, -1, -1, 0.17391304347826086, 0.17588932806324112, 0.19960474308300397, 0.1541501976284585, 0.15612648221343872, 0.14031620553359683
26000, 22.8, -1.0, -1.0, -1, -1, 0.16634429400386846, 0.19922630560928434, 0.17988394584139264, 0.15667311411992263, 0.18375241779497098, 0.11411992263056092
26020, 25.1, -1.0, -1.0, -1, -1, 0.1440677966101695, 0.16271186440677965, 0.18983050847457628, 0.21694915254237288, 0.1694915254237288, 0.11694915254237288
