episodes,mean timesteps,mean reward,median reward,min reward,max reward,stop,up,left,down,right,bomb
15700, 169.1, -0.6, -1.0, -1, 1, 0.6007148327801889, 0.09267296400306357, 0.17819760020423794, 0.01684962981873883, 0.11156497319377075, 0.0
15720, 180.4, 0.0, 0.0, -1, 1, 0.6053933696190005, 0.0875804057397328, 0.16848095002474023, 0.021029193468579913, 0.11751608114794657, 0.0
15740, 181.7, -0.2, -1.0, -1, 1, 0.6418096723868955, 0.08174726989079563, 0.16131045241809672, 0.019968798751950078, 0.09516380655226209, 0.0
15760, 158.3, 0.0, 0.0, -1, 1, 0.5912296841459675, 0.08249003373198405, 0.19717877951548604, 0.01993253603189206, 0.10916896657467035, 0.0
15780, 134.9, -0.2, -1.0, -1, 1, 0.596446046870976, 0.08550090136492403, 0.18645377285603915, 0.020345093999484934, 0.11125418490857585, 0.0
15800, 170.2, -0.4, -1.0, -1, 1, 0.5978982300884956, 0.09070796460176991, 0.17505530973451328, 0.02627212389380531, 0.11006637168141593, 0.0
15820, 206.4, -0.2, -1.0, -1, 1, 0.56472049689441, 0.09267080745341615, 0.19453416149068323, 0.026832298136645963, 0.12124223602484473, 0.0
15840, 163.7, -0.2, -1.0, -1, 1, 0.5615693689435122, 0.0983219097140156, 0.1897896478373907, 0.02954384306310565, 0.1207752304419759, 0.0
15860, 165.4, 0.0, 0.0, -1, 1, 0.5722786139306966, 0.08540427021351067, 0.1928596429821491, 0.03255162758137907, 0.11690584529226461, 0.0
15880, 156.4, -0.4, -1.0, -1, 1, 0.6299752950864672, 0.07054625308811419, 0.16936590721932474, 0.02333241833653582, 0.10678012626955806, 0.0
15900, 162.2, -0.4, -1.0, -1, 1, 0.6113427856547122, 0.07700861829302197, 0.16791770920211288, 0.027800945232137893, 0.11592994161801501, 0.0
15920, 242.4, -0.2, -1.0, -1, 1, 0.5971304941926668, 0.08175814165338192, 0.18424049191528125, 0.026417672511956276, 0.11045319972671373, 0.0
15940, 185.8, -0.2, -1.0, -1, 1, 0.5871532846715328, 0.09167883211678832, 0.17693430656934306, 0.03182481751824817, 0.11240875912408758, 0.0
15960, 178.3, -0.6, -1.0, -1, 1, 0.565323897659227, 0.08247142079477408, 0.19188894937397932, 0.03293413173652695, 0.12738160043549265, 0.0
15980, 301.6, -0.2, -1.0, -1, 1, 0.5785455239549533, 0.07558694407329643, 0.2093911051727429, 0.02901317045237641, 0.10746325634663104, 0.0
16000, 168.4, -0.6, -1.0, -1, 1, 0.595006090133983, 0.07643118148599269, 0.19732034104750304, 0.03197320341047503, 0.09926918392204628, 0.0
16020, 184.4, -0.2, -1.0, -1, 1, 0.6010021097046413, 0.07331223628691984, 0.19831223628691982, 0.02821729957805907, 0.09915611814345991, 0.0
16040, 209.2, 0.0, 0.0, -1, 1, 0.6132833422603107, 0.08141403320835565, 0.17487948580610604, 0.029726834493840386, 0.10069630423138726, 0.0
16060, 210.8, -0.6, -1.0, -1, 1, 0.6292501164415464, 0.07102934326967862, 0.16907312529110385, 0.030740568234746156, 0.09990684676292501, 0.0
16080, 210.3, -0.6, -1.0, -1, 1, 0.6211198143313026, 0.07745865970409051, 0.1621700029010734, 0.03075137800986365, 0.10850014505366985, 0.0
16100, 207.5, -0.2, -1.0, -1, 1, 0.6382198952879581, 0.07225130890052356, 0.1505235602094241, 0.02931937172774869, 0.10968586387434555, 0.0
16120, 225.0, 0.2, 1.0, -1, 1, 0.6246357615894039, 0.07496688741721855, 0.15920529801324504, 0.025165562913907286, 0.11602649006622516, 0.0
16140, 193.0, -0.6, -1.0, -1, 1, 0.6341924804918421, 0.06550011823126034, 0.16268621423504376, 0.029794277606999292, 0.10782690943485458, 0.0
16160, 225.9, -0.2, -1.0, -1, 1, 0.6217893835616438, 0.08283390410958905, 0.1547517123287671, 0.03210616438356165, 0.10851883561643835, 0.0
16180, 299.3, -0.4, -1.0, -1, 1, 0.5891018814341498, 0.08217962371317004, 0.17483138090166844, 0.03248136315228967, 0.12140575079872204, 0.0
16200, 139.2, 0.0, 0.0, -1, 1, 0.5888982812059735, 0.08509439278670047, 0.17159763313609466, 0.0273316427162581, 0.12707805015497323, 0.0
16220, 150.3, 0.0, 0.0, -1, 1, 0.5591026747195859, 0.09462180040264596, 0.18607995398331895, 0.03307448950244463, 0.1271210813920046, 0.0
16240, 217.0, -0.4, -1.0, -1, 1, 0.5517241379310345, 0.09961685823754789, 0.18626584143825523, 0.034482758620689655, 0.12791040377247273, 0.0
16260, 182.3, -0.4, -1.0, -1, 1, 0.5573472041612484, 0.08790637191157347, 0.20702210663198958, 0.030169050715214564, 0.11755526657997399, 0.0
16280, 179.5, -0.2, -1.0, -1, 1, 0.5402663284717819, 0.0818008877615726, 0.212428662016487, 0.033185373071232295, 0.13231874867892623, 0.0
16300, 228.4, -0.4, -1.0, -1, 1, 0.5651664322550398, 0.0736052508204407, 0.20792311298640412, 0.028832630098452883, 0.12447257383966245, 0.0
16320, 234.3, 0.2, 1.0, -1, 1, 0.5698896479243301, 0.06988964792433, 0.20651602732527588, 0.026799789805570153, 0.12690488702049396, 0.0
16340, 181.0, 0.2, 1.0, -1, 1, 0.561011181332037, 0.07559552746718522, 0.21195916383082158, 0.03573164803111327, 0.11570247933884298, 0.0
16360, 214.1, -0.2, -1.0, -1, 1, 0.5584632516703786, 0.06848552338530067, 0.22048997772828507, 0.031180400890868598, 0.12110244988864143, 0.00027839643652561246
16380, 144.2, -0.4, -1.0, -1, 1, 0.5569581280788177, 0.07358374384236453, 0.2124384236453202, 0.028017241379310345, 0.1290024630541872, 0.0
16400, 209.6, 0.2, 1.0, -1, 1, 0.5833333333333334, 0.05876685934489403, 0.2056840077071291, 0.028179190751445087, 0.12379576107899808, 0.00024084778420038535
16420, 172.4, -0.2, -1.0, -1, 1, 0.5746426680783483, 0.06458443620963472, 0.20645844362096347, 0.026469031233456855, 0.12758073054526203, 0.00026469031233456857
16440, 312.5, -0.6, -1.0, -1, 1, 0.5703803823131879, 0.0693184012357598, 0.20892064105039582, 0.03514191928943811, 0.11623865611121838, 0.0
16460, 211.9, -0.4, -1.0, -1, 1, 0.566546329723225, 0.07268351383874849, 0.21179302045728038, 0.0368231046931408, 0.11215403128760529, 0.0
16480, 146.9, 0.2, 1.0, -1, 1, 0.5877469224162611, 0.0655596908101918, 0.21271113655883195, 0.022902948754652163, 0.11107930146006298, 0.0
16500, 200.4, -0.2, -1.0, -1, 1, 0.5876901140684411, 0.0663022813688213, 0.19961977186311788, 0.0339828897338403, 0.11240494296577946, 0.0
16520, 192.9, 0.0, 0.0, -1, 1, 0.6100443131462334, 0.05711472181191531, 0.19251600196947316, 0.033727227966518954, 0.10659773510585918, 0.0
16540, 197.5, 0.4, 1.0, -1, 1, 0.5913495627511227, 0.06452375324982274, 0.1992436776175845, 0.030489246041125028, 0.11439376034034507, 0.0
16560, 217.6, -0.4, -1.0, -1, 1, 0.5706214689265536, 0.06702619414483821, 0.20929635336414998, 0.035952747817154594, 0.11710323574730354, 0.0
16580, 199.3, -0.6, -1.0, -1, 1, 0.5779424977538186, 0.06761006289308176, 0.20372866127583109, 0.036163522012578615, 0.11455525606469003, 0.0
16600, 211.0, 0.0, 0.0, -1, 1, 0.5646397547266224, 0.08329075114971896, 0.2087378640776699, 0.034491568727644355, 0.10884006131834441, 0.0
16620, 110.8, -0.2, -1.0, -1, 1, 0.5987341772151898, 0.06867088607594937, 0.1990506329113924, 0.03575949367088608, 0.09778481012658227, 0.0
